

                         Increment number   1
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.
              3      0.12E-02  0.11E+01  0.15E-04  0.98E+00
              4      0.11E-02  0.11E+01  0.15E-04  0.98E+00
              5      0.11E-02  0.11E+01  0.15E-04  0.98E+00
              6      0.11E-02  0.11E+01  0.14E-04  0.98E+00
              7      0.11E-02  0.11E+01  0.14E-04  0.98E+00
              8      0.10E-02  0.11E+01  0.14E-04  0.98E+00
              9      0.10E-02  0.10E+01  0.14E-04  0.98E+00
             10      0.10E-02  0.10E+01  0.13E-04  0.98E+00
             11      0.99E-03  0.10E+01  0.13E-04  0.98E+00

     Power:  0.37200E+07


                         Increment number  17
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.11E-02  0.11E+01  0.13E-04  0.98E+00
              2      0.11E-02  0.11E+01  0.14E-04  0.98E+00
              3      0.10E-02  0.11E+01  0.13E-04  0.98E+00
              4      0.10E-02  0.11E+01  0.12E-04  0.98E+00
              5      0.10E-02  0.10E+01  0.12E-04  0.98E+00
              6      0.99E-03  0.10E+01  0.12E-04  0.98E+00

     Power:  0.39527E+07


                         Increment number  18
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.10E-02  0.16E+01  0.12E-04  0.98E+00
              2      0.10E-02  0.11E+01  0.12E-04  0.98E+00
              3      0.99E-03  0.10E+01  0.11E-04  0.98E+00

     Power:  0.41854E+07


                         Increment number  19
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.10E-02  0.16E+01  0.11E-04  0.98E+00
              2      0.10E-02  0.11E+01  0.11E-04  0.98E+00
              3      0.99E-03  0.11E+01  0.11E-04  0.98E+00

     Power:  0.44182E+07


                         Increment number  20
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.10E-02  0.16E+01  0.10E-04  0.98E+00
              2      0.10E-02  0.11E+01  0.11E-04  0.98E+00
              3      0.10E-02  0.11E+01  0.10E-04  0.98E+00
              4      0.99E-03  0.10E+01  0.10E-04  0.98E+00

     Power:  0.46510E+07


                         Increment number  21
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.10E-02  0.16E+01  0.99E-05  0.98E+00
              2      0.10E-02  0.10E+01  0.10E-04  0.98E+00
              3      0.99E-03  0.10E+01  0.96E-05  0.98E+00

     Power:  0.48838E+07


                         Increment number  22
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.10E-02  0.16E+01  0.95E-05  0.98E+00
              2      0.10E-02  0.10E+01  0.10E-04  0.98E+00
              3      0.10E-02  0.98E+00  0.93E-05  0.98E+00

     Power:  0.51166E+07


                         Increment number  23
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.10E-02  0.15E+01  0.93E-05  0.98E+00
              2      0.10E-02  0.97E+00  0.98E-05  0.98E+00
              3      0.10E-02  0.96E+00  0.92E-05  0.98E+00

     Power:  0.53495E+07


                         Increment number  24
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.10E-02  0.15E+01  0.92E-05  0.98E+00
              2      0.10E-02  0.96E+00  0.99E-05  0.98E+00
              3      0.99E-03  0.94E+00  0.93E-05  0.98E+00

     Power:  0.55824E+07


                         Increment number  25
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.10E-02  0.15E+01  0.92E-05  0.98E+00
              2      0.99E-03  0.96E+00  0.10E-04  0.98E+00

     Power:  0.58153E+07


                         Increment number  26
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.10E-02  0.16E+01  0.95E-05  0.98E+00

     Power:  0.60482E+07


                         Increment number  27
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.10E-02  0.26E+01  0.98E-05  0.98E+00
              2      0.10E-02  0.11E+01  0.11E-04  0.98E+00

     Power:  0.62812E+07


                         Increment number  28
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.10E-02  0.11E+01  0.11E-04  0.98E+00
              2      0.99E-03  0.11E+01  0.11E-04  0.98E+00

     Power:  0.65142E+07
