

                         Increment number   1
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.
              3      0.11E-02  0.53E-03  0.36E-04  0.98E+00
              4      0.11E-02  0.53E-03  0.36E-04  0.98E+00
              5      0.11E-02  0.53E-03  0.36E-04  0.98E+00
              6      0.11E-02  0.53E-03  0.36E-04  0.98E+00
              7      0.11E-02  0.53E-03  0.36E-04  0.98E+00
              8      0.11E-02  0.53E-03  0.36E-04  0.98E+00
              9      0.11E-02  0.53E-03  0.36E-04  0.98E+00
             10      0.11E-02  0.53E-03  0.36E-04  0.98E+00
             11      0.11E-02  0.52E-03  0.36E-04  0.98E+00
             12      0.11E-02  0.52E-03  0.36E-04  0.98E+00
             13      0.11E-02  0.52E-03  0.36E-04  0.98E+00
             14      0.11E-02  0.52E-03  0.36E-04  0.98E+00
             15      0.11E-02  0.52E-03  0.36E-04  0.98E+00
             16      0.11E-02  0.52E-03  0.36E-04  0.98E+00
             17      0.11E-02  0.52E-03  0.36E-04  0.98E+00
             18      0.11E-02  0.52E-03  0.36E-04  0.98E+00
             19      0.11E-02  0.52E-03  0.36E-04  0.98E+00
             20      0.11E-02  0.52E-03  0.37E-04  0.98E+00

     Power:   86.997    


                         Increment number  16
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.12E-02  0.70E-03  0.35E-04  0.98E+00
              2      0.12E-02  0.54E-03  0.44E-04  0.98E+00
              3      0.12E-02  0.54E-03  0.37E-04  0.98E+00
              4      0.12E-02  0.54E-03  0.37E-04  0.98E+00
              5      0.12E-02  0.54E-03  0.37E-04  0.98E+00
              6      0.12E-02  0.54E-03  0.37E-04  0.98E+00
              7      0.12E-02  0.54E-03  0.37E-04  0.98E+00
              8      0.12E-02  0.54E-03  0.37E-04  0.98E+00
              9      0.12E-02  0.54E-03  0.37E-04  0.98E+00
             10      0.12E-02  0.54E-03  0.37E-04  0.98E+00
             11      0.12E-02  0.54E-03  0.37E-04  0.98E+00
             12      0.12E-02  0.54E-03  0.37E-04  0.98E+00
             13      0.12E-02  0.54E-03  0.38E-04  0.98E+00
             14      0.12E-02  0.54E-03  0.38E-04  0.98E+00
             15      0.12E-02  0.54E-03  0.38E-04  0.98E+00
             16      0.12E-02  0.54E-03  0.38E-04  0.98E+00
             17      0.12E-02  0.54E-03  0.38E-04  0.98E+00
             18      0.12E-02  0.54E-03  0.38E-04  0.98E+00
             19      0.12E-02  0.54E-03  0.38E-04  0.98E+00
             20      0.12E-02  0.53E-03  0.38E-04  0.98E+00

     Power:   92.958    


                         Increment number  17
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.12E-02  0.71E-03  0.36E-04  0.98E+00
              2      0.12E-02  0.55E-03  0.45E-04  0.98E+00
              3      0.12E-02  0.55E-03  0.39E-04  0.98E+00
              4      0.12E-02  0.55E-03  0.39E-04  0.98E+00
              5      0.12E-02  0.55E-03  0.39E-04  0.98E+00
              6      0.12E-02  0.55E-03  0.39E-04  0.98E+00
              7      0.12E-02  0.55E-03  0.39E-04  0.98E+00
              8      0.12E-02  0.55E-03  0.39E-04  0.98E+00
              9      0.12E-02  0.55E-03  0.39E-04  0.98E+00
             10      0.12E-02  0.55E-03  0.39E-04  0.98E+00
             11      0.12E-02  0.54E-03  0.39E-04  0.98E+00
             12      0.12E-02  0.54E-03  0.39E-04  0.98E+00
             13      0.12E-02  0.54E-03  0.39E-04  0.98E+00
             14      0.12E-02  0.54E-03  0.39E-04  0.98E+00
             15      0.12E-02  0.54E-03  0.40E-04  0.98E+00
             16      0.12E-02  0.54E-03  0.40E-04  0.98E+00
             17      0.12E-02  0.54E-03  0.40E-04  0.98E+00
             18      0.12E-02  0.54E-03  0.40E-04  0.98E+00
