

                         Increment number   1
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.
             20      0.12E-02  0.53E+00  0.47E-04  0.98E+00

     Power:  0.27985E+07


                         Increment number  18
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.11E-02  0.58E+00  0.44E-04  0.98E+00
              2      0.11E-02  0.52E+00  0.54E-04  0.98E+00
              3      0.11E-02  0.52E+00  0.47E-04  0.98E+00
              4      0.11E-02  0.52E+00  0.47E-04  0.98E+00
              5      0.11E-02  0.52E+00  0.47E-04  0.98E+00
              6      0.11E-02  0.52E+00  0.47E-04  0.98E+00
              7      0.11E-02  0.52E+00  0.47E-04  0.98E+00
              8      0.11E-02  0.52E+00  0.47E-04  0.98E+00
              9      0.11E-02  0.52E+00  0.47E-04  0.98E+00
             10      0.11E-02  0.52E+00  0.47E-04  0.98E+00
             11      0.11E-02  0.52E+00  0.47E-04  0.98E+00
             12      0.11E-02  0.52E+00  0.47E-04  0.98E+00
             13      0.11E-02  0.52E+00  0.47E-04  0.98E+00
             14      0.11E-02  0.52E+00  0.47E-04  0.98E+00
             15      0.11E-02  0.52E+00  0.47E-04  0.98E+00
             16      0.11E-02  0.52E+00  0.47E-04  0.98E+00
             17      0.11E-02  0.52E+00  0.47E-04  0.98E+00
             18      0.11E-02  0.52E+00  0.47E-04  0.98E+00
             19      0.11E-02  0.52E+00  0.47E-04  0.98E+00
             20      0.11E-02  0.51E+00  0.47E-04  0.98E+00

     Power:  0.29643E+07


                         Increment number  19
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.11E-02  0.56E+00  0.45E-04  0.98E+00
              2      0.11E-02  0.50E+00  0.54E-04  0.98E+00
              3      0.11E-02  0.50E+00  0.48E-04  0.98E+00
              4      0.11E-02  0.50E+00  0.47E-04  0.98E+00
              5      0.11E-02  0.50E+00  0.47E-04  0.98E+00
              6      0.11E-02  0.50E+00  0.47E-04  0.98E+00
              7      0.11E-02  0.50E+00  0.47E-04  0.98E+00
              8      0.11E-02  0.50E+00  0.47E-04  0.98E+00
              9      0.11E-02  0.50E+00  0.47E-04  0.98E+00
             10      0.11E-02  0.50E+00  0.47E-04  0.98E+00
             11      0.11E-02  0.50E+00  0.47E-04  0.98E+00
             12      0.11E-02  0.50E+00  0.47E-04  0.98E+00
             13      0.11E-02  0.50E+00  0.47E-04  0.98E+00
             14      0.11E-02  0.50E+00  0.47E-04  0.98E+00
             15      0.11E-02  0.50E+00  0.47E-04  0.98E+00
             16      0.11E-02  0.50E+00  0.47E-04  0.98E+00
             17      0.11E-02  0.50E+00  0.47E-04  0.98E+00
             18      0.11E-02  0.50E+00  0.47E-04  0.98E+00
             19      0.11E-02  0.50E+00  0.47E-04  0.98E+00
             20      0.11E-02  0.50E+00  0.47E-04  0.98E+00

     Power:  0.31300E+07


                         Increment number  20
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.11E-02  0.54E+00  0.45E-04  0.98E+00
              2      0.10E-02  0.48E+00  0.54E-04  0.98E+00
              3      0.10E-02  0.48E+00  0.48E-04  0.98E+00
              4      0.10E-02  0.48E+00  0.48E-04  0.98E+00
              5      0.10E-02  0.48E+00  0.48E-04  0.98E+00
              6      0.10E-02  0.48E+00  0.48E-04  0.98E+00
              7      0.10E-02  0.47E+00  0.48E-04  0.98E+00
              8      0.10E-02  0.47E+00  0.48E-04  0.98E+00
              9      0.10E-02  0.47E+00  0.48E-04  0.98E+00
             10      0.10E-02  0.47E+00  0.48E-04  0.98E+00
             11      0.10E-02  0.47E+00  0.48E-04  0.98E+00
             12      0.10E-02  0.47E+00  0.48E-04  0.98E+00
             13      0.10E-02  0.47E+00  0.48E-04  0.98E+00
             14      0.10E-02  0.47E+00  0.48E-04  0.98E+00
             15      0.10E-02  0.47E+00  0.48E-04  0.98E+00
             16      0.10E-02  0.47E+00  0.48E-04  0.98E+00
             17      0.10E-02  0.47E+00  0.48E-04  0.98E+00
             18      0.10E-02  0.47E+00  0.48E-04  0.98E+00
             19      0.10E-02  0.47E+00  0.48E-04  0.98E+00
             20      0.10E-02  0.47E+00  0.48E-04  0.98E+00

     Power:  0.32958E+07


                         Increment number  21
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.99E-03  0.60E+00  0.46E-04  0.98E+00

     Power:  0.34617E+07


                         Increment number  22
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.96E-03  0.26E+01  0.52E-04  0.98E+00

     Power:  0.36276E+07


                         Increment number  23
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.94E-03  0.83E+01  0.58E-04  0.98E+00

     Power:  0.37935E+07


                         Increment number  24
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.93E-03  0.15E+02  0.63E-04  0.98E+00

     Power:  0.39594E+07


                         Increment number  25
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

