

                         Increment number   1
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.
              7      0.35E-02  0.37E-01  0.22E-03  0.93E+00
              8      0.34E-02  0.36E-01  0.22E-03  0.94E+00
              9      0.34E-02  0.36E-01  0.22E-03  0.94E+00
             10      0.34E-02  0.36E-01  0.21E-03  0.94E+00
             11      0.33E-02  0.35E-01  0.21E-03  0.94E+00
             12      0.33E-02  0.35E-01  0.21E-03  0.94E+00
             13      0.33E-02  0.35E-01  0.21E-03  0.94E+00
             14      0.33E-02  0.34E-01  0.20E-03  0.94E+00
             15      0.32E-02  0.34E-01  0.20E-03  0.94E+00
             16      0.32E-02  0.34E-01  0.20E-03  0.94E+00
             17      0.32E-02  0.34E-01  0.20E-03  0.94E+00
             18      0.32E-02  0.33E-01  0.20E-03  0.94E+00
             19      0.31E-02  0.33E-01  0.20E-03  0.94E+00
             20      0.31E-02  0.33E-01  0.20E-03  0.94E+00

     Power:   280.64    


                         Increment number  14
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.33E-02  0.43E-01  0.18E-03  0.94E+00
              2      0.32E-02  0.33E-01  0.23E-03  0.94E+00
              3      0.32E-02  0.33E-01  0.22E-03  0.94E+00
              4      0.32E-02  0.33E-01  0.22E-03  0.94E+00
              5      0.31E-02  0.33E-01  0.22E-03  0.94E+00
              6      0.31E-02  0.32E-01  0.21E-03  0.94E+00
              7      0.31E-02  0.32E-01  0.21E-03  0.94E+00
              8      0.30E-02  0.32E-01  0.21E-03  0.94E+00
              9      0.30E-02  0.32E-01  0.21E-03  0.94E+00
             10      0.30E-02  0.31E-01  0.20E-03  0.94E+00
             11      0.30E-02  0.31E-01  0.20E-03  0.94E+00
             12      0.29E-02  0.31E-01  0.20E-03  0.94E+00
             13      0.29E-02  0.31E-01  0.20E-03  0.94E+00
             14      0.29E-02  0.31E-01  0.20E-03  0.95E+00
             15      0.29E-02  0.31E-01  0.20E-03  0.95E+00
             16      0.28E-02  0.30E-01  0.20E-03  0.95E+00
             17      0.28E-02  0.30E-01  0.20E-03  0.95E+00
             18      0.28E-02  0.30E-01  0.19E-03  0.95E+00
             19      0.28E-02  0.30E-01  0.19E-03  0.95E+00
             20      0.28E-02  0.30E-01  0.19E-03  0.95E+00

     Power:   302.31    


                         Increment number  15
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.28E-02  0.43E-01  0.18E-03  0.95E+00
              2      0.28E-02  0.30E-01  0.21E-03  0.95E+00
              3      0.28E-02  0.30E-01  0.20E-03  0.95E+00
              4      0.28E-02  0.30E-01  0.20E-03  0.95E+00
              5      0.27E-02  0.30E-01  0.20E-03  0.95E+00
              6      0.27E-02  0.29E-01  0.20E-03  0.95E+00
              7      0.27E-02  0.29E-01  0.20E-03  0.95E+00
              8      0.27E-02  0.29E-01  0.19E-03  0.95E+00
              9      0.27E-02  0.29E-01  0.19E-03  0.95E+00
             10      0.26E-02  0.29E-01  0.19E-03  0.95E+00
             11      0.26E-02  0.29E-01  0.19E-03  0.95E+00
             12      0.26E-02  0.29E-01  0.19E-03  0.95E+00
             13      0.26E-02  0.28E-01  0.19E-03  0.95E+00
             14      0.26E-02  0.28E-01  0.19E-03  0.95E+00
             15      0.26E-02  0.28E-01  0.19E-03  0.95E+00
             16      0.26E-02  0.28E-01  0.19E-03  0.95E+00
             17      0.26E-02  0.28E-01  0.19E-03  0.95E+00
             18      0.25E-02  0.28E-01  0.19E-03  0.95E+00
             19      0.25E-02  0.28E-01  0.19E-03  0.95E+00
